Cena;Data dodania;Lokalizacja;Na sprzedaż przez;Rodzaj nieruchomości;Liczba pokoi;Liczba łazienek;Wielkość (m2);opis;Parking
519000;03/04/2020;Praga Północ, Warszawa;Właściciel;Mieszkanie;4 pokoje;1 łazienka;50;"CO] - gotowiec inwestycyjny KUP I ZARABIAJ 

 [GDZIE] - Warszawa, Praga-Północ , Targowa 70

 [OPIS] - Oferujemy wyremontowane mieszkanie składające się z 4 
niezależnych pokoi , 1 łazienka (prysznic ),WC , oddzielnej kuchni . 
przychód roczny na poziomie 6% netto (już po odjęciu czynszu 
oczywiście ). 

Dobra komunikacja 
Metro Wileńska przy wyjściu z budynku

Obok Galeria Wileńska , liczne sklepy 
w pobliżu park i zoo

Mieszkanie jest umeblowane i ma sprzęt AGD 

Mieszkanie własnościowe z KW . 

Amortyzacja przyśpieszona 10%

 CHĘTNIE ZAJMIEMY SIĘ ZARZĄDZANIEM NAJMU W TEJ INWESTYCJI 

 Pozwól nam pracować i zarabiać też , a sobie pozwól na wakacje i na lokatę wyższą niż w banku 
 
Jarek 608840585";
619000;03/04/2020;Wilanów, Warszawa;Właściciel;Mieszkanie;2 pokoje;1 łazienka;53;"Sprzedam mieszkanie 2 pokoje 53m2 w
Miasteczku Wilanów.
Rozkład
mieszkania:
Salon plus
aneks kuchenny około 35m2
Sypialnia
około 12m2
Łazienka
około 6m2
Balkon
około 6m2
Mieszkanie
wykończone i zamieszkane w styczniu 2017 roku.
Agentów
nieruchomości proszę o niekontaktowanie się w sprawie tej oferty.";Ulica
950000;27/01/2020;Wilanów, Warszawa;Właściciel;Mieszkanie;3 pokoje;2 łazienki;90;"Sprzedam komfortowo urządzone mieszkanie o powierzchni 90 mkw. przy skrzyżowaniu widokowej Osi Królewskiej i ul. Kieślowskiego w Miasteczku Wilanów. W najbliższej okolicy znajduje się wszystko, co jest potrzebne do szczęścia – przyroda, sklepy, usługi. W odległości 5 minut spaceru znajdują się 4 przystanki komunikacji miejskiej obsługiwane przez 17 linii autobusowych.
3-pokojowe mieszkanie z garderobą i 2 łazienkami znajduje się na parterze i zostało przebudowane z pierwotnego układu 4-pokojowego. 

Salon z aneksem kuchennym: powierzchnia 32 mkw. zwrócony na słoneczną, zachodnią stronę, a podwójne panoramiczne okno prowadzi do zielonego ogródka z trawnikiem i krzewami. W salonie, przedpokoju i dużym pokoju  drewniana, dębowa podłoga. Wszystkie drzwi wewnętrzne wraz z ościeżnicami wykonano na zamówienie z pięknie barwionego drewna bukowego.Kuchnia: w pełni urządzona  - meble na wymiar, 16 szafek i 4 szuflady.  Wyposażenie kuchni stanowią doskonałej jakości urządzenia Bosch (piekarnik, zmywarka, lodówka, płyta grzewcza). Blat wykonano z gustownego konglomeratu (bez łączeń), zlewozmywak dopasowany kolorystycznie do blatu. Przestrzeń pomiędzy szafkami wyłożona dużymi taflami hartowanego szkła. 2 Łazienki: Pokój kąpielowy 8 mkw. z glazurą i gresem projektu Macieja Zienia dysponuje 2-osobową wanną. W mniejszej łazience 5,6 mkw., wyłożonej fakturowaną włoską glazurą znajduje się duża, wygodna kabina prysznicowa z deszczownicą, wykonana z hartowanego szkła (rozmiary 1,1x1,1 m). Obie łazienki wyposażone w toalety Villeroy&Boch, armatura Grohe i Tres. Garderoba: stanowi oddzielne pomieszczenie 3,4 mkw., jest w pełni urządzona i wyposażona - biała zabudowa z szufladami i wieszakami na wymiar. 2 pokoje/sypialnie: o powierzchni 22 i 14 mkw. skierowane są na wschód od ul. Kieślowskiego. Za oknami na całej szerokości mieszkania znajduje się zieleniec oddzielający mieszkanie od ruchu ulicznego. Trzy okna o wysokości 2 m są wyposażone w metalowe rolety, chroniące przed nadmiernym nasłonecznieniem. Budynek monitorowany i strzeżony. Szczegółowe informacje: Salon z aneksem kuchennym (kuchenne okno) - 33 mkw. z wyjściem do ogródka na zielonym patio
Duży pokój - 22 mkw. Sypialnia - 14 mkw. Pokój kąpielowy - 8 mkw. Łazienka 5,6 mkw. Garderoba 3,4 mkw. Miejsce parkingowe w garażu podziemnym (przy wejściu do klatki schodowej) - płatne dodatkowo 25 000 PLN.

Mieszkanie w zasadzie gotowe do zamieszkania, przywrócenia układu 4 pokojowego. Opcja łatwego przekształcenia w lokal biurowy lub usługowy.
Cena: 950 000 PLN
Pośrednikom i agencjom dziękuję. 
Treść ogłoszenia nie stanowi oferty handlowej w rozumieniu kodeksu cywilnego.

Tel. 880 064 856

";Garaż
655000;22/04/2020;Śródmieście, Warszawa;Agencja;Mieszkanie;2 pokoje;;55;"Agencja WN pracuje podczas pandemii. Prowadzimy wideoprezentacje. Przeprowadzamy spotkania w bezpiecznych warunkach dla dwóch stron transakcji.
 
 Agencja Nieruchomości zaprasza do kupna świetnie usytuowanego cichego mieszkania 2 pokojowego o powierzchni 55 m 2 na 1 piętrze w 5-piętrowej KAMIENICY z 1994 r. z windą w samym Śródmieściu. 
 
 Mieszkanie stanowi świetną inwestycję pod biuro, na wynajem lub do własnego zamieszkania.
 
 W zasięgu 5 min. piechotą wszelka komunikacja miejska, sklepy, przychodnie, usługi, szkoły/przedszkola, parki w tym Saski.... 
 
 Otwarte widoki z obu stron - Północ/Południe.
 Nic w tym miejscu nie będzie już budowane. 
 
 Mieszkanie wymaga średniego remontu przez nowych właścicieli, ale wszelkie instalacje, ściany są zadbane. 
 
 Budynek świetnie utrzymany z zewnątrz jak i na zewnątrz. Duże możliwości łatwej aranżacji poprzez wyburzenie/przesunięcia ścian. 
 
 ABY DOCENIĆ TRZEBA ZOBACZYĆ. 
 
 Stan prawny: Spółdzielcze własnościowe.
 
 We speak English language.
 L'agente parla la lingua italiana.
 
 Treść niniejszego ogłoszenia nie stanowi oferty handlowej w rozumieniu Kodeksu Cywilnego.Numer oferty w biurze: 365Lokalizacja: Mazowieckie, Warszawa, Śródmieście...Oferta opublikowana przez program Trimo";Brak
576248;22/04/2020;Wola, Warszawa;Agencja;Mieszkanie;2 pokoje;1 łazienka;45;"BLISKA WOLA , komfortowy 2- pokojowy apartament znajdujący się na 4. piętrze w 7- piętrowym budynku z 2020 r.

Powierzchnia 4o,99 m2 składa się z salonu z aneksem kuchennym, sypialni, łazienki z kabiną prysznicową i holu. 
Lokal jest starannie wykończony, umeblowany i kompletnie wyposażony w sprzęt RTV oraz AGD ( lodówka, zmywarka, mikrofala, pralka, toster, czajnik, płyta grzewcza, zastawa stołowa, sejf, żelazko, deska do prasowania...
Apartament jest klimatyzowany, okna wychodzą na Zachód- widok na zielone drzewa oraz przestrzeń.

Dogodna lokalizacja z szybkim dojazdem do centrum, w prężnie rozwijającej się biznesowej dzielnicy.
Przystanek autobusowy 120 m od budynku, w bliskiej okolicy Dworzec Zachodni.


Polecam.





Jeżeli nie udało się znaleźć oferty spełniającej kryteria, zapraszamy do kontaktu bezpośredniego z naszymi doradcami.

Nie wszystkie nasze oferty widoczne są w internecie.Numer oferty w biurze: 274147/3376/OMSLokalizacja: Mazowieckie, Warszawa, Wola, Sławińska...Oferta opublikowana przez program Trimo";
650000;22/04/2020;Mokotów, Warszawa;Agencja;Mieszkanie;3 pokoje;1 łazienka;49;"Na sprzedaż piękne mieszkanie o powierzchni 48,10 m2 + balkon 4 m2 + piwnica 3 m2, po generalnym remoncie w zielonej części Górnego Mokotowa - przy Dolince Służewieckiej.
Mieszkanie w bardzo dobrej lokalizacji, w cichej i spokojnej okolicy, świetnie skomunikowane z Centrum Warszawy, położone tylko 10 minut na piechotę od Metra Służew. Tuż koło bloku znajduje się przystanek z kilkoma liniami autobusowymi w kierunku Centrum i Ursynowa. Tuż koło bloku park Dolinki Służewieckiej, szkoła, przedszkole, place zabaw, Biedronka, Lidl (w budowie), apteka, kościół. Pod blokiem ogólnodostępny parking z dużą ilością miejsc parkingowych.

Mieszkanie świetnie nadaje się na cele INWESTYCYJNE (blisko Uczelnia, Metro) jak i dla rodziny z dziećmi (blisko przedszkole szkoła).

Mieszkanie świeżo po GENERALNYM remoncie, łącznie z wymianą hydrauliki i instalacji elektrycznej. Wykonano nowe wylewki, tynki, nowoczesne oświetlenie. Remont w wysokim standardzie, armatura firmowa. Do mieszkania przynależy duża piwnica na poziomie 0 oraz duży balkon, który można przerobić na loggie.

Mieszkanie własnościowe z KW (możliwe kredytowanie). Budynkiem zarządza bardzo prężnie działająca spółdzielnia.
Mieszkanie gotowe do wprowadzenia od zaraz.
Okna wychodzą na południe - z widokiem na zielony park Dolinki Służewieckiej i pięknie podświetlony kościół św. Katarzyny.
Mieszkanie jak na zdjęciach, w cenie kuchnia wyposażona w zabudowę-meble,nowocześnie urządzona łazienka. 


Czynsz- 620 zł zawierający zaliczki na media, fundusz remontowy oraz wywóz śmieci. Opłata za GAZ w cenie czynszu.

Cena sprzedaży: 519480 zł.

Serdecznie polecam i zapraszam na prezentację.



Jeżeli nie udało się znaleźć oferty spełniającej kryteria, zapraszamy do kontaktu bezpośredniego z naszymi doradcami.

Nie wszystkie nasze oferty widoczne są w internecie.Numer oferty w biurze: 274138/3376/OMSLokalizacja: Mazowieckie, Warszawa, Mokotów, Łukowa...Oferta opublikowana przez program Trimo";
505000;22/04/2020;Wola, Warszawa;Agencja;Mieszkanie;2 pokoje;1 łazienka;47;"Na sprzedaż jasne i ciche mieszkanie (47 m2) po remoncie usytuowane na wysokim parterze (ok 2m powyżej poziomu gruntu) w 4- piętrowym budynku z 2004 roku.

Mieszkanie składa się:

- Dużego salonu z aneksem kuchennym (w zabudowie kuchenka gazowa, zmywarka, lodówka)
- Sypialni z przestronną szafą i łóżkiem 
- Łazienki z prysznicem i pralką
- Dużego balkonu wychodzącego na zieleń

Do mieszkania przynależy również miejsce postojowe w garażu podziemnym (dodatkowy koszt 30.000 zł, zakup obligatoryjny)

Bardzo dogodna lokalizacja. Stacja metra Księcia Janusza znajduje się 500m od bloku. Do przystanku Białowiejska niecałe 100m. Centrum Handlowe Wola Park znajduje się po drugiej stronie ul. Górczewskiej ok 200m od bloku. Dodatkowo w okolicy Biedronka i Carrefoure. Blok jest zbudowany z cegły i jest dodatkowo ocieplony co gwarantuje niskie opłaty oraz przyjazny klimat wewnątrz pomieszczeń.

Czynsz do spółdzielni z zaliczkami na wodę, ogrzewanie, śmieci i utrzymanie miejsca postojowego wynosi 465 zł/miesiąc.

Cena sprzedaży: 505000 złotych.

Serdecznie polecam i zapraszam na prezentację.



Jeżeli nie udało się znaleźć oferty spełniającej kryteria, zapraszamy do kontaktu bezpośredniego z naszymi doradcami.

Nie wszystkie nasze oferty widoczne są w internecie.Numer oferty w biurze: 274136/3376/OMSLokalizacja: Mazowieckie, Warszawa, Wola, Władysława Przanowskiego...Oferta opublikowana przez program Trimo";
519000;22/04/2020;Praga Północ, Warszawa;Agencja;Mieszkanie;3 pokoje;1 łazienka;62;"Na sprzedaż atrakcyjne i przestronne mieszkanie w bardzo dobrej lokalizacji na Pradze, przy ul. Białostockiej. Kilka kroków do Dworca Wileńskiego i stacji metra.

Mieszkanie 3 -pokojowe rozkładowe, dwustronne, dyspozycja północ-południe. Spokojna i cicha okolica. Budynek Rama-H, po remoncie i ociepleniu. Jest winda. Wyremontowane klatki schodowe. Mieszkanie usytuowane na 9/11 piętrze. Dodatkowo balkon oraz piwnica.

Mieszkanie w chwili obecnej wynajmowane i zostało przerobione na 5 pokoi. Daje możliwość bardzo dobrego zwrotu z inwestycji lub przekształcenia z powrotem na 3 pokoje. Zdjęcia są sprzed ingerencji w przebudowę na 5 pokoi.

W mieszkaniu oddzielne WC oraz łazienka, kuchnia z oknem, 3 pokoje rozkładowe z oknami, z czego w jednym jest wyjście na balkon.

Założona Księga Wieczysta. Spółdzielcza Własność z KW.

Cena sprzedaży: 519 000 zł

Serdecznie polecam i zapraszam na prezentację.



Jeżeli nie udało się znaleźć oferty spełniającej kryteria, zapraszamy do kontaktu bezpośredniego z naszymi doradcami.

Nie wszystkie nasze oferty widoczne są w internecie.Numer oferty w biurze: 274135/3376/OMSLokalizacja: Mazowieckie, Warszawa, Praga Północ, Białostocka...Oferta opublikowana przez program Trimo";
1790000;22/04/2020;Wawer, Warszawa;Agencja;Dom;5 pokoi;3 łazienki;380;"Klasyczna rezydencja położona na warszawskim Wawrze o pow. 380 m2 na działce 780 m2.

Zbudowana w 1995 r. przeszła generalny remont w 2010 r.

Nieruchomość funkcjonalna, starannie wykończona. Przy wykonaniu zastosowano nowoczesne materiały. 
Dach kryty gontem bitumicznym. Okna PCV P4, antywłamaniowe, rolety zewnętrzne antywłamaniowe w całym domu, drzwi wejściowe antywłamaniowe z dwóch stron budynku. Podłogi w pokojach - parkiet Merbau, wysokiej jakości wykładzina, w łazienkach - teak. Kuchnia wykonana na zamówienie, sprzęt AGD najwyższej jakości (Miele, Samsung, Teka). Sufity podwieszane z oświetleniem halogenowym. Budynek z cegły, elewacja tynk, ocieplenie styropian 15 cm, orynnowanie Marley, piec Saunier Duval. Klimatyzacja. Domofon z video oraz zdjęciami dzwoniących. Własne ujęcie wody.

Rezydencja składa się z trzech poziomów i poddasza, z garażem w bryle budynku o pow. 17,7 m2.

Poziom -I (piwnica): 3 pomieszczenia gospodarcze o pow. ok. 50 m2 - kotłownia, pralnia, schowek.

Poziom 0: pokój 32,4 m2 z wyjściem na taras 14 m2; główna sypialnia 23,8 m2; funkcjonalna garderoba 13,4 m2; łazienka z prysznicem 9 m2; garaż 17,7 m2.

Poziom I: salon 61,2 m2, wysokość 5,5 m z różnicą poziomów podłogi, przepięknie oświetlony, trójstronny z 8 oknami, z wyjściem na taras 14 m2 i balkon; kuchnia 21 m2 ze spiżarnią; łazienka z wanną z hydromasazem 9,5 m2; sypialnia 14,5 m2.
 
Poddasze: sauna, łazienka z prysznicem i pokój ok. 50 m2, łącznie pow. 56 m2, okna w połaci dachowej.

Rezydencja ogrodzona i monitorowana systemem kamer z rejestratorem stref podłączonym do Internetu.
 
Jednym z atutów tej nieruchomości jest podgrzewany 30 - metrowy basen z przeciwprądem. Głębokość 1,5 m. Basen posiada zadaszenie przesuwne pięciosegmentowe. Każdy segment ma własną prowadnicę, która umożliwia dostęp do basenu z dowolnego miejsca.

W ogrodzie nasadzenia, tuje i trawa z rolki. Ogród z podlewaniem automatycznym.

Ekspozycja domu południowo - zachodnia od strony ogrodu.

Szambo 6 m3, ale istnieje możliwość podłączenia kanalizacji.

Istnieje możliwość dokupienia działek obok i powiększenie posiadłości. 

Atrakcyjna oferta dla osób ceniących świeże powietrze, ciszę, spokój i jednocześnie dobrą komunikację z miastem!



Jeżeli nie udało się znaleźć oferty spełniającej kryteria, zapraszamy do kontaktu bezpośredniego z naszymi doradcami.

Nie wszystkie nasze oferty widoczne są w internecie.Numer oferty w biurze: 32207/3376/ODSLokalizacja: Mazowieckie, Warszawa, Wawer...Oferta opublikowana przez program Trimo";
599000;22/04/2020;Wołomin, Pn - wsch powiaty;Agencja;Dom;5 pokoi;3 łazienki;;Dom wolnostojący o pow. cał. ok. 210 m2 zlokalizowany na działce 694 m2. Rozkład pomieszczeń jest następujący:PRZYZIEMIE stanowią 2 garaże, Kotłownia, WC, Pokój Relaksu, Pomieszczenie gospodarcze z wyjściem do ogrodu i altany.WYSOKI PARTER wejście klatką schodową zewnętrzną, Wiatrołap, Łazienka z wanną, Sypialnia, Przedpokój, Salon z Balkonem, Pomieszczenie Socjalne/Kuchnia oraz Gabinet/Biuro około 40m2 . PIĘTRO zabudowana klatka schodowa z wyjściem na taras, Łazienka z wanną, Oddzielna widna Kuchnia, Salon, Sypialnia, Przedpokój.STRYCH pomieszczenie do adaptacji, częściowo wykończone.Doskonała proozycja do zamieszkania z możliwością prowadzenia nieuciążliwej działalności typu: biuro projektowe, rachunkowe, gabinet, punkt przedszkolny itp Dom znajduje się w zacisznej i spokojnej okolicy Wołomina – okolice rezerwatu Grabicz, wśród zabudowań jednorodzinnych. Przystanek autobusowy w odległości około 400m, szkoła,i ok 1km, przedszkole – 600m i 900m, szpital – 3km, przychodnia 2km. Dojazd bez korków do S8 – 4,5km, Galeria Handlowa w odległości 3,5km. Kancelaria GOLDHAUS &Partnerzy Sp. z o.o. Małgorzata, tel. 798965209 , nr licencji 10623.tel. do biura 22-428 21 11;
