Miasto	Powiat	Województwo	Powierzchnia [ha] (01.01.2020)	Liczba ludności (01.01.2020)	Gęstość zaludnienia [osoby/km²] (01.01.2020)
Aleksandrów Kujawski	aleksandrowski	kujawsko-pomorskie	723	12102	1674
Aleksandrów Łódzki	zgierski	łódzkie	1382	21739	1573
Alwernia	chrzanowski	małopolskie	888	3344	377
Andrychów	wadowicki	małopolskie	1033	20016	1938
Annopol	kraśnicki	lubelskie	773	2488	322
Augustów	augustowski	podlaskie	8090	30153	373
Babimost	zielonogórski	lubuskie	365	3923	1075
Baborów	głubczycki	opolskie	1186	2920	246
Baranów Sandomierski	tarnobrzeski	podkarpackie	915	1459	159
Barcin	żniński	kujawsko-pomorskie	370	7381	1995
Barczewo	olsztyński	warmińsko-mazurskie	458	7501	1638
Bardo	ząbkowicki	dolnośląskie	471	2553	542
Barlinek	myśliborski	zachodniopomorskie	1755	13663	779
Bartoszyce	bartoszycki	warmińsko-mazurskie	1179	23284	1975
Barwice	szczecinecki	zachodniopomorskie	752	3686	490
Bełchatów	bełchatowski	łódzkie	3464	56973	1645
Bełżyce	lubelski	lubelskie	2346	6477	276
Będzin	będziński	śląskie	3737	56354	1508
Biała	prudnicki	opolskie	1472	2414	164
Biała Piska	piski	warmińsko-mazurskie	324	4030	1244
Biała Podlaska	Biała Podlaska[a]	lubelskie	4940	57170	1157
Biała Rawska	rawski	łódzkie	953	3151	331
Białobrzegi	białobrzeski	mazowieckie	751	6891	918
Białogard	białogardzki	zachodniopomorskie	2573	24146	938
Biały Bór	szczecinecki	zachodniopomorskie	1282	2210	172
Białystok	Białystok[a]	podlaskie	10213	297554	2913
Biecz	gorlicki	małopolskie	1771	4607	260
Bielawa	dzierżoniowski	dolnośląskie	3621	29872	825
Bielsk Podlaski	bielski	podlaskie	2701	25262	935
Bielsko-Biała	Bielsko-Biała[a]	śląskie	12451	170663	1371
Bieruń	bieruńsko-lędziński	śląskie	4049	19507	482
Bierutów	oleśnicki	dolnośląskie	836	4874	583
Bieżuń	żuromiński	mazowieckie	1207	1850	153
Biłgoraj	biłgorajski	lubelskie	2110	26329	1248
Biskupiec	olsztyński	warmińsko-mazurskie	500	10634	2127
Bisztynek	bartoszycki	warmińsko-mazurskie	216	2359	1092
Blachownia	częstochowski	śląskie	3666	9555	261
Błaszki	sieradzki	łódzkie	162	2085	1287
Błażowa	rzeszowski	podkarpackie	423	2144	507
Błonie	warszawski zachodni	mazowieckie	909	12195	1342
Bobolice	koszaliński	zachodniopomorskie	477	3961	830
Bobowa	gorlicki	małopolskie	718	3144	438
Bochnia	bocheński	małopolskie	2987	29718	995
Bodzentyn	kielecki	świętokrzyskie	865	2211	256
Bogatynia	zgorzelecki	dolnośląskie	5988	17318	289
Boguchwała	rzeszowski	podkarpackie	911	6184	679
Boguszów-Gorce	wałbrzyski	dolnośląskie	2702	15310	567
Bojanowo	rawicki	wielkopolskie	234	2908	1243
Bolesławiec	bolesławiecki	dolnośląskie	2357	38872	1649
Bolków	jaworski	dolnośląskie	768	4967	647
Borek Wielkopolski	gostyński	wielkopolskie	629	2502	398
Borne Sulinowo	szczecinecki	zachodniopomorskie	1815	5099	281
Braniewo	braniewski	warmińsko-mazurskie	1241	16992	1369
Brańsk	bielski	podlaskie	3243	3753	116
Brodnica	brodnicki	kujawsko-pomorskie	2315	28880	1248
Brok	ostrowski	mazowieckie	2806	1924	69
Brusy	chojnicki	pomorskie	520	5182	997
Brwinów	pruszkowski	mazowieckie	1010	13698	1356
Brzeg	brzeski	opolskie	1461	35709	2444
Brzeg Dolny	wołowski	dolnośląskie	1720	12506	727
Brzesko	brzeski	małopolskie	1192	16819	1411
Brzeszcze	oświęcimski	małopolskie	1904	11192	588
Brześć Kujawski	włocławski	kujawsko-pomorskie	704	4596	653
Brzeziny	brzeziński	łódzkie	2158	12501	579
Brzostek	dębicki	podkarpackie	876	2746	313
Brzozów	brzozowski	podkarpackie	1146	7438	649
Budzyń	chodzieski	wielkopolskie	4059	4333	107
Buk	poznański	wielkopolskie	296	6008	2030
Bukowno	olkuski	małopolskie	6459	10106	156
Busko-Zdrój	buski	świętokrzyskie	1228	15786	1286
Bychawa	lubelski	lubelskie	669	4855	726
Byczyna	kluczborski	opolskie	579	3534	610
Bydgoszcz	Bydgoszcz[a]	kujawsko-pomorskie	17598	348190	1979
Bystrzyca Kłodzka	kłodzki	dolnośląskie	1074	10047	935
Bytom	Bytom[a]	śląskie	6944	165263	2380
Bytom Odrzański	nowosolski	lubuskie	230	4308	1873
Bytów	bytowski	pomorskie	872	16881	1936
Cedynia	gryfiński	zachodniopomorskie	167	1520	910
Chełm	Chełm[a]	lubelskie	3528	61932	1755
Chełmek	oświęcimski	małopolskie	827	9031	1092
Chełmno	chełmiński	kujawsko-pomorskie	1356	19510	1439
Chełmża	toruński	kujawsko-pomorskie	784	14449	1843
Chęciny	kielecki	świętokrzyskie	1413	4430	314
Chmielnik	kielecki	świętokrzyskie	780	3662	469
Chocianów	polkowicki	dolnośląskie	900	7866	874
Chociwel	stargardzki	zachodniopomorskie	367	3150	858
Chocz	pleszewski	wielkopolskie	688	1787	260
Chodecz	włocławski	kujawsko-pomorskie	139	1852	1332
Chodzież	chodzieski	wielkopolskie	1277	18480	1447
Chojna	gryfiński	zachodniopomorskie	1258	7408	589
Chojnice	chojnicki	pomorskie	2104	39804	1892
Chojnów	legnicki	dolnośląskie	532	13266	2494
Choroszcz	białostocki	podlaskie	1679	5908	352
Chorzele	przasnyski	mazowieckie	1751	3113	178
Chorzów	Chorzów[a]	śląskie	3324	107807	3243
Choszczno	choszczeński	zachodniopomorskie	958	15109	1577
Chrzanów	chrzanowski	małopolskie	3832	36575	954
Ciechanowiec	wysokomazowiecki	podlaskie	1953	4613	236
Ciechanów	ciechanowski	mazowieckie	3278	44138	1346
Ciechocinek	aleksandrowski	kujawsko-pomorskie	1526	10618	696
Cieszanów	lubaczowski	podkarpackie	1506	1909	127
Cieszyn	cieszyński	śląskie	2861	34424	1203
Ciężkowice	tarnowski	małopolskie	999	2479	248
Cybinka	słubicki	lubuskie	529	2751	520
Czaplinek	drawski	zachodniopomorskie	1362	7119	523
Czarna Białostocka	białostocki	podlaskie	1428	9279	650
Czarna Woda	starogardzki	pomorskie	994	2769	279
Czarne	człuchowski	pomorskie	4643	5889	127
Czarnków	czarnkowsko-trzcianecki	wielkopolskie	1017	10607	1043
Czchów	brzeski	małopolskie	1409	2340	166
Czechowice-Dziedzice	bielski	śląskie	3291	35925	1092
Czeladź	będziński	śląskie	1638	31405	1917
Czempiń	kościański	wielkopolskie	332	5307	1598
Czerniejewo	gnieźnieński	wielkopolskie	1019	2691	264
Czersk	chojnicki	pomorskie	973	9920	1020
Czerwieńsk	zielonogórski	lubuskie	936	3988	426
Czerwińsk nad Wisłą	płoński	mazowieckie	548	1033	189
Czerwionka-Leszczyny	rybnicki	śląskie	3763	28134	748
Częstochowa	Częstochowa[a]	śląskie	15971	220433	1380
Człopa	wałecki	zachodniopomorskie	627	2306	368
Człuchów	człuchowski	pomorskie	1278	13624	1066
Czyżew	wysokomazowiecki	podlaskie	523	2647	506
Ćmielów	ostrowiecki	świętokrzyskie	1334	3021	226
Daleszyce	kielecki	świętokrzyskie	1550	2883	186
Darłowo	sławieński	zachodniopomorskie	2021	13695	678
Dąbie	kolski	wielkopolskie	880	1986	226
Dąbrowa Białostocka	sokólski	podlaskie	2264	5502	243
Dąbrowa Górnicza	Dąbrowa Górnicza[a]	śląskie	18873	119373	633
Dąbrowa Tarnowska	dąbrowski	małopolskie	2307	11864	514
Debrzno	człuchowski	pomorskie	751	5066	675
Dębica	dębicki	podkarpackie	3383	45504	1345
Dęblin	rycki	lubelskie	3833	16058	419
Dębno	myśliborski	zachodniopomorskie	1951	13696	702
Dobczyce	myślenicki	małopolskie	1297	6427	496
Dobiegniew	strzelecko-drezdenecki	lubuskie	569	3071	540
Dobra	łobeski	zachodniopomorskie	237	2290	966
Dobra	turecki	wielkopolskie	184	1369	744
Dobre Miasto	olsztyński	warmińsko-mazurskie	486	10182	2095
Dobrodzień	oleski	opolskie	1953	3690	189
Dobrzany	stargardzki	zachodniopomorskie	534	2247	421
Dobrzyca	pleszewski	wielkopolskie	1970	3128	159
Dobrzyń nad Wisłą	lipnowski	kujawsko-pomorskie	541	2117	391
Dolsk	śremski	wielkopolskie	620	1560	252
Drawno	choszczeński	zachodniopomorskie	503	2274	452
Drawsko Pomorskie	drawski	zachodniopomorskie	2233	11523	516
Drezdenko	strzelecko-drezdenecki	lubuskie	1072	10074	940
Drobin	płocki	mazowieckie	965	2861	296
Drohiczyn	siemiatycki	podlaskie	1569	1965	125
Drzewica	opoczyński	łódzkie	481	3826	795
Dubiecko	przemyski	podkarpackie	239	871	364
Dukla	krośnieński	podkarpackie	548	2070	378
Duszniki-Zdrój	kłodzki	dolnośląskie	2228	4545	204
Dynów	rzeszowski	podkarpackie	2455	6120	249
Działdowo	działdowski	warmińsko-mazurskie	1147	21274	1855
Działoszyce	pińczowski	świętokrzyskie	192	897	467
Działoszyn	pajęczański	łódzkie	494	5810	1176
Dzierzgoń	sztumski	pomorskie	390	5335	1368
Dzierżoniów	dzierżoniowski	dolnośląskie	2007	33137	1651
Dziwnów	kamieński	zachodniopomorskie	652	2660	408
Elbląg	Elbląg[a]	warmińsko-mazurskie	7982	119317	1495
Ełk	ełcki	warmińsko-mazurskie	2105	62109	2951
Frampol	biłgorajski	lubelskie	467	1440	308
Frombork	braniewski	warmińsko-mazurskie	759	2326	306
Garwolin	garwoliński	mazowieckie	2208	17602	797
Gąbin	płocki	mazowieckie	2795	4121	147
Gdańsk	Gdańsk[a]	pomorskie	26196	470907	1798
Gdynia	Gdynia[a]	pomorskie	13514	246348	1823
Giżycko	giżycki	warmińsko-mazurskie	1372	29307	2136
Glinojeck	ciechanowski	mazowieckie	737	3008	408
Gliwice	Gliwice[a]	śląskie	13388	178603	1334
Głogów	głogowski	dolnośląskie	3511	66980	1908
Głogów Małopolski	rzeszowski	podkarpackie	2088	8530	409
Głogówek	prudnicki	opolskie	2206	5585	253
Głowno	zgierski	łódzkie	1984	14119	712
Głubczyce	głubczycki	opolskie	1254	12521	998
Głuchołazy	nyski	opolskie	683	13503	1977
Głuszyca	wałbrzyski	dolnośląskie	1621	6335	391
Gniew	tczewski	pomorskie	604	6661	1103
Gniewkowo	inowrocławski	kujawsko-pomorskie	918	7092	773
Gniezno	gnieźnieński	wielkopolskie	4060	68217	1680
Gogolin	krapkowicki	opolskie	2035	6734	331
Golczewo	kamieński	zachodniopomorskie	742	2660	358
Goleniów	goleniowski	zachodniopomorskie	1178	22216	1886
Golina	koniński	wielkopolskie	352	4478	1272
Golub-Dobrzyń	golubsko-dobrzyński	kujawsko-pomorskie	750	12546	1673
Gołańcz	wągrowiecki	wielkopolskie	1264	3282	260
Gołdap	gołdapski	warmińsko-mazurskie	1720	13708	797
Goniądz	moniecki	podlaskie	428	1848	432
Goraj	biłgorajski	lubelskie	762	968	127
Gorlice	gorlicki	małopolskie	2353	27357	1163
Gorzów Śląski	oleski	opolskie	1854	2467	133
Gorzów Wielkopolski	Gorzów Wielkopolski[a]	lubuskie	8572	123609	1442
Gostynin	gostyniński	mazowieckie	3240	18527	572
Gostyń	gostyński	wielkopolskie	1109	20296	1830
Gościno	kołobrzeski	zachodniopomorskie	570	2418	424
Gozdnica	żagański	lubuskie	2392	3000	125
Góra	górowski	dolnośląskie	1365	11678	856
Góra Kalwaria	piaseczyński	mazowieckie	1367	12109	886
Górowo Iławeckie	bartoszycki	warmińsko-mazurskie	332	3940	1187
Górzno	brodnicki	kujawsko-pomorskie	343	1382	403
Grabów nad Prosną	ostrzeszowski	wielkopolskie	258	1924	746
Grajewo	grajewski	podlaskie	1894	21900	1156
Grodków	brzeski	opolskie	988	8570	867
Grodzisk Mazowiecki	grodziski	mazowieckie	1319	32125	2436
Grodzisk Wielkopolski	grodziski	wielkopolskie	1821	14697	807
Grójec	grójecki	mazowieckie	857	16758	1955
Grudziądz	Grudziądz[a]	kujawsko-pomorskie	5776	94368	1634
Grybów	nowosądecki	małopolskie	1695	6026	356
Gryfice	gryficki	zachodniopomorskie	1240	16415	1324
Gryfino	gryfiński	zachodniopomorskie	1181	21167	1792
Gryfów Śląski	lwówecki	dolnośląskie	663	6617	998
Gubin	krośnieński	lubuskie	2068	16614	803
Hajnówka	hajnowski	podlaskie	2129	20488	962
Halinów	miński	mazowieckie	284	3745	1319
Hel	pucki	pomorskie	2295	3261	142
Hrubieszów	hrubieszowski	lubelskie	3303	17528	531
Iława	iławski	warmińsko-mazurskie	2188	33327	1523
Iłowa	żagański	lubuskie	918	3874	422
Iłża	radomski	mazowieckie	1583	4727	299
Imielin	bieruńsko-lędziński	śląskie	2799	9189	328
Inowrocław	inowrocławski	kujawsko-pomorskie	3042	72561	2385
Ińsko	stargardzki	zachodniopomorskie	748	1918	256
Iwonicz-Zdrój	krośnieński	podkarpackie	589	1789	304
Izbica Kujawska	włocławski	kujawsko-pomorskie	224	2596	1159
Jabłonowo Pomorskie	brodnicki	kujawsko-pomorskie	335	3716	1109
Janikowo	inowrocławski	kujawsko-pomorskie	951	8712	916
Janowiec Wielkopolski	żniński	kujawsko-pomorskie	304	3935	1294
Janów Lubelski	janowski	lubelskie	1480	11879	803
Jaraczewo	jarociński	wielkopolskie	1007	1413	140
Jarocin	jarociński	wielkopolskie	1638	26106	1594
Jarosław	jarosławski	podkarpackie	3461	37479	1083
Jasień	żarski	lubuskie	479	4262	890
Jasło	jasielski	podkarpackie	3652	34882	955
Jastarnia	pucki	pomorskie	506	2708	535
Jastrowie	złotowski	wielkopolskie	7230	8633	119
Jastrzębie-Zdrój	Jastrzębie-Zdrój[a]	śląskie	8533	88743	1040
Jawor	jaworski	dolnośląskie	1880	22758	1211
Jaworzno	Jaworzno[a]	śląskie	15259	91115	597
Jaworzyna Śląska	świdnicki	dolnośląskie	434	5111	1178
Jedlicze	krośnieński	podkarpackie	1060	5717	539
Jedlina-Zdrój	wałbrzyski	dolnośląskie	1745	4820	276
Jedwabne	łomżyński	podlaskie	454	1615	356
Jelcz-Laskowice	oławski	dolnośląskie	1706	15745	923
Jelenia Góra	Jelenia Góra[a]	dolnośląskie	10922	79061	724
Jeziorany	olsztyński	warmińsko-mazurskie	341	3153	925
Jędrzejów	jędrzejowski	świętokrzyskie	1137	15014	1320
Jordanów	suski	małopolskie	2103	5366	255
