Miejscowość             Długość        Szerokość
Adamów (siedleckie)     22°15'E        51°45'N
Adamów (zamojskie)      23°10'E        50°36'N
Adamówka                22°42'E        50°16'N
Aleksandrów             19°59'E        51°16'N
Aleksandrów Kujawski    18°42'E        52°53'N
Aleksandrów Łódzki      19°19'E        51°49'N
Alwernia                19°32'E        50°04'N
Andrespol               19°37'E        51°44'N
Andrychów               19°20'E        49°52'N
Andrzejewo              22°12'E        52°50'N
Annopol                 21°52'E        50°53'N
Augustów                22°58'E        53°51'N
Babiak                  18°41'E        52°20'N
Babice                  19°26'E        50°04'N
Babimost                15°50'E        52°09'N
Baborów                 17°59'E        50°09'N
Baboszewo               20°15'E        52°42'N
Baćkowice               21°14'E        50°48'N
Bakałarzewo             22°39'E        54°06'N
Baligród                22°17'E        49°21'N
Bałtów                  21°32'E        51°01'N
Banie                   14°38'E        53°06'N
Banie Mazurskie         22°03'E        54°15'N
Baranowicze             26°02'E        53°08'N
Baranowo                21°18'E        53°11'N
Baranów (kaliskie)      18°00'E        51°16'N
Baranów (lubelskie)     22°09'E        51°34'N
Baranów (skierniewickie)20°28'E        52°07'N
Baranów Sandomierski    21°33'E        50°30'N
Barciany                21°21'E        54°13'N
Barcin                  17°57'E        52°52'N
Barczewo                20°41'E        53°50'N
Bardo                   16°45'E        50°31'N
Bargłów Kościelny       22°50'E        53°46'N
Barlinek                15°13'E        52°59'N
Bartoszyce              20°48'E        54°15'N
Baruchowo               19°15'E        52°30'N
Barwice                 16°21'E        53°44'N
Batorz                  22°30'E        50°50'N
Bądkowo                 18°47'E        52°42'N
Bedlno                  19°34'E        52°13'N
Bejsce                  20°36'E        50°15'N
Belsk Duży              20°49'E        51°50'N
Bełchatów               19°22'E        51°22'N
Bełżyce                 22°17'E        51°10'N
Bestwina                19°03'E        49°54'N
Będków                  19°45'E        51°35'N
Będzin                  19°08'E        50°19'N
Będzino                 15°59'E        54°12'N
Biała (opolskie)        17°40'E        50°23'N
Biała (sieradzkie)      18°27'E        51°16'N
Biała Piska             22°04'E        53°37'N
Biała Podlaska          23°07'E        52°02'N
Biała Rawska            20°29'E        51°48'N
Białaczów               20°18'E        51°18'N
Białe Błota             17°55'E        53°06'N
Białobrzegi (rzeszow.)  22°21'E        50°07'N
Białobrzegi (radomskie) 20°57'E        51°39'N
Białogard               15°59'E        54°00'N
Białopole               23°44'E        50°59'N
Białośliwie             17°07'E        53°06'N
Białowieża              23°52'E        52°42'N
Biały Bór               16°50'E        53°44'N
Biały Dunajec           20°02'E        49°22'N
Białystok               23°10'E        53°08'N
Biecz                   21°16'E        49°44'N
Bielany                 22°15'E        52°20'N
Bielawa                 16°37'E        50°42'N
Bielawy                 19°39'E        52°04'N
Bielice                 14°43'E        53°12'N
Bieliny                 20°55'E        50°51'N
Bielsk                  19°48'E        52°41'N
Bielsk Podlaski         23°12'E        52°46'N
Bielsko-Biała           19°04'E        49°50'N
Bierawa                 18°16'E        50°17'N
